"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","String","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","NekoChiba","My room mate loves these! He plays all the time and they sound great!","Verified Purchase","Reviewed in Australia on 28 February 2024","4.7 out of 5 stars"
"2","String","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Daniel Gh","It took less than a day to arrive🫶🫶","Verified Purchase","Reviewed in Australia on 22 December 2023","5.0 out of 5 stars"
"3","String","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","NekoChiba","This strings with a great sound","Verified Purchase","Reviewed in Australia on 28 February 2024","1.0 out of 5 stars"
"4","String","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Chi","Always happens the same with this ones. Gotta be careful tuning 2nd and 1st string as most of this new ones usually brakes and could be dissappointing","Verified Purchase","Reviewed in Australia on 16 November 2023","5.0 out of 5 stars"
"5","String","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Chi","I am new at guitar, but they are definitely a lot easier on the fingers than my prior ones.  Sound good too.","Verified Purchase","Reviewed in Australia on 10 December 2023","5.0 out of 5 stars"
"6","String","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","SON LAI","I wanted some strings that had a nice sound and not too expensive.....mainly for practice. These are perfect and don't break the bank. Strings great so far, and as described in the listing.","Verified Purchase","Reviewed in Australia on 13 November 2023","5.0 out of 5 stars"
"7","String","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Gian","Great guitar strings for if you want to D-Tune your guitar","Verified Purchase","Reviewed in Australia on 20 February 2024","5.0 out of 5 stars"
"8","String","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Happy Shopping","Brilliant arrival timing for a brilliant product. Contained exactly what it advertised and met my exact needs. Would recommend this product to anyone wishing to restring their guitar :DD","Verified Purchase","Reviewed in Australia on 19 June 2023","4.0 out of 5 stars"
"9","String","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Greg H","Great budget strings. Nice high end sound, mids and bass are pretty mediocre but gets the job done","Verified Purchase","Reviewed in Australia on 22 October 2023","5.0 out of 5 stars"
"10","String","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","PhilC","Thought i would try these as i normally use elixer strings and i have to say these are very nice great value for money and good sound there not as smooth as the nanoweb strings but still nice to play with..I would recommend these as a good budget option for sure...","Verified Purchase","Reviewed in Australia on 28 February 2023","5.0 out of 5 stars"
"11","String","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","NekoChiba","exactly as expected","Verified Purchase","Reviewed in Australia on 28 February 2024","4.7 out of 5 stars"
"12","String","D'Addario EJ16 Phosphor Bronze Acoustic Guitar Strings, Light, 12-53","Daniel Gh","Strong and very practical strings","Verified Purchase","Reviewed in Australia on 22 December 2023","5.0 out of 5 stars"
