"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Ryan w","The three pack is well worth the price and the product smells great. It doesn’t dry out your skin and is a quality soap.","Verified Purchase","Reviewed in Australia on 15 October 2023","4.7 out of 5 stars"
"2","Moisturizer","Dove Triple Moisturising Body Wash 1 L","John F","The container was smaller than expected but still a great value for an amazing product! It's left my skin noticeably moisturized.","Verified Purchase","Reviewed in Australia on 15 January 2024","5.0 out of 5 stars"
"3","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Ryan w","I really like this product, leaves my old skin feeling fresh and smells fresh,this deal was almost buy2, get 1 free as it's $11.90 in shopswill last me for ages","Verified Purchase","Reviewed in Australia on 15 October 2023","3.0 out of 5 stars"
"4","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Simon Sean Jayce Dorante-Day","Good body wash - pleasant scent","Verified Purchase","Reviewed in Australia on 7 January 2024","5.0 out of 5 stars"
"5","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Maggs","Good product works great","Verified Purchase","Reviewed in Australia on 15 November 2023","5.0 out of 5 stars"
"6","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Amazon Customer","I’ve tried multiple body washes and it has always lead to me having dry skin. This dove body wash seems to be the only one that hydrates my skin","Verified Purchase","Reviewed in Australia on 28 January 2024","5.0 out of 5 stars"
"7","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Ian","Perfect product great delivery time","Verified Purchase","Reviewed in Australia on 12 February 2024","4.0 out of 5 stars"
"8","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Perfect clean fit","I use the Dove body wash when I have a shower been using it for years","Verified Purchase","Reviewed in Australia on 25 January 2024","5.0 out of 5 stars"
"9","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Julie","Thank you","Verified Purchase","Reviewed in Australia on 28 February 2024","5.0 out of 5 stars"
"10","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Kathleen Anderson","Shower with the Mango & Almond Body Wash and you'll think you are a tropical dessert.","Verified Purchase","Reviewed in Australia on 8 February 2024","5.0 out of 5 stars"
"11","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Ryan w","Smoother than a babies butt","Verified Purchase","Reviewed in Australia on 15 October 2023","4.7 out of 5 stars"
"12","Moisturizer","Dove Triple Moisturising Body Wash 1 L","John F","Happy with the product","Verified Purchase","Reviewed in Australia on 15 January 2024","5.0 out of 5 stars"
"13","Moisturizer","Dove Triple Moisturising Body Wash 1 L","TJ","Got 3l for $20, even know this smell isnt my favour, but $20 for a whole year of body wash, definitely a great value","Verified Purchase","Reviewed in Australia on 23 January 2024","3.0 out of 5 stars"
"14","Moisturizer","Dove Triple Moisturising Body Wash 1 L","ZA","This is our regular bodywash which we love and very happy to purchase it at such a great price. Thank you Amazon!","Verified Purchase","Reviewed in Australia on 8 January 2024","4.0 out of 5 stars"
"15","Moisturizer","Dove Triple Moisturising Body Wash 1 L","xuxian","Great product, very happy with purchases","Verified Purchase","Reviewed in Australia on 25 December 2023","5.0 out of 5 stars"
"16","Moisturizer","Dove Triple Moisturising Body Wash 1 L","SAB","Happy with the bundle price.Fast delivery.Happy with the product.","Verified Purchase","Reviewed in Australia on 23 December 2023","5.0 out of 5 stars"
"17","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Roby Duv","Great for all the family to use,saves space,","Verified Purchase","Reviewed in Australia on 31 December 2023","5.0 out of 5 stars"
"18","Moisturizer","Dove Triple Moisturising Body Wash 1 L","ty edwards","Swear by dove in my bathroom,, we're just checking out each new sent as they come out","Verified Purchase","Reviewed in Australia on 15 December 2023","5.0 out of 5 stars"
"19","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Sylvia","Each bottle is wrapped individually in plastic to prevent collateral spills. I ordered 4 bottles but 1 was sort of open. Don’t think it’s anyone’s fault as the bottle wasn’t damaged just loose. Other than that extremely happy.","Verified Purchase","Reviewed in Australia on 5 December 2023","5.0 out of 5 stars"
"20","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Loved it, one of the best we've tried to date","I love this aroma!","Verified Purchase","Reviewed in Australia on 23 November 2023","5.0 out of 5 stars"
"21","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Ryan w","Great product.  Great value for money with the 3 pack.","Verified Purchase","Reviewed in Australia on 15 October 2023","4.7 out of 5 stars"
"22","Moisturizer","Dove Triple Moisturising Body Wash 1 L","John F","Great seal","Verified Purchase","Reviewed in Australia on 15 January 2024","5.0 out of 5 stars"
"23","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Maggie Moore","I'm definitely happy with this product. My skin is prone to dryness and this body wash has helped remedy that. Dove really is my go-to in comparison to other commercial brands for that very reason.","Verified Purchase","Reviewed in Australia on 19 November 2023","3.0 out of 5 stars"
"24","Moisturizer","Dove Triple Moisturising Body Wash 1 L","Mich159","The Dove is packed shrink wrapped in pack of 3. The price for 3 is about 1.5 times full price at Woolworths so great value delivered to home.","Verified Purchase","Reviewed in Australia on 27 November 2023","5.0 out of 5 stars"
