"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Laura","Better than most","Verified Purchase","Reviewed in Australia on 23 January 2024","4.8 out of 5 stars"
"2","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Onikeh Tumaku","Does a good job but still gentle enough not to scratch things. Dries fast and cleans out easily.","Verified Purchase","Reviewed in Australia on 30 December 2023","5.0 out of 5 stars"
"3","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Sumeet P.","I bought 2 of the original versions, and think it was enough.The texture of this scrub is very elastic. However, it does not become as hardened as compared to the first time use, still very good so far.I use it to clean almost everything, my bathroom, bbq stove..... and it works very well. After get everything cleaned, scrub daddy itself is very easy to clean and comeback to original color.","Verified Purchase","Reviewed in Australia on 8 November 2023","2.0 out of 5 stars"
"4","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Anonymous","This is the best sponge ever made! It is so versatile and easy to use. The material makes it easy to clean! I’ve personally tested it on a new regular sponge and the scrub daddy got everything off the dish in 2 swipes (the sponge took 9 and there was still some left over). You can also use the mouth to clean spoons which is a little bit of a gimmick but it still works incredibly well. My favourite feature is cleaning cups with the scrub daddy. Just stick your fingers in the eyes and twist it in a cup. It’s as good as new! I love this sponge and i’m definitely buying more!","Verified Purchase","Reviewed in Australia on 16 October 2023","5.0 out of 5 stars"
"5","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","lycia86","Love love love. Highly recommend.","Verified Purchase","Reviewed in Australia on 20 July 2023","5.0 out of 5 stars"
"6","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Zac","I can never go back to ordinary dish/cleaning sponges/scrubs.  This is value for money for the quality you get.  It's long lasting and does what it promises to do.  Multi-purpose so you dollars stretches further.n Great buy.","Verified Purchase","Reviewed in Australia on 28 February 2023","5.0 out of 5 stars"
"7","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Monica","I bought this for my boyfriends mum because she said she wanted to try it, we all love it and will definitely buy it for myself when I move out :)","Verified Purchase","Reviewed in Australia on 25 October 2023","5.0 out of 5 stars"
"8","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Vee Rowe","Brilliant invention. Cleans like a dream and so fun to use. I have to recommend the holder as well - it keeps daddy tidy!","Verified Purchase","Reviewed in Australia on 20 August 2023","5.0 out of 5 stars"
"9","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","dakota","Good quality scrub. Becomes soft when soaked in warm water and hard in cold water. Cleans your dishes, surfaces, stove with a smile.","Verified Purchase","Reviewed in Australia on 23 August 2023","5.0 out of 5 stars"
"10","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Lucy Holmes","Really makes a difference to all am cleaning. I used for all types dishes, bathroom, kitchen clean. Does a really good job and holds its shape very well.","Verified Purchase","Reviewed in Australia on 7 September 2023","5.0 out of 5 stars"
"11","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Amazon Customer","It's a scrub daddy. It's iconic. What's not to love. Cleans my shower, bath and bathroom vanity very well
  
Read more","Verified Purchase","Reviewed in Australia on 23 January 2024","4.8 out of 5 stars"
"12","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Amazon Customer","Brilliant in all sorts of cleaning, whether it's the dishes or an oven top, no odor, easily washes off and it's overall worth it.
  
Read more","Verified Purchase","Reviewed in Australia on 5 January 2024","Previous page"
"13","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Laura","Finger holes are good, making it easy to use.  Works well and comes back to brand new.
  
Read more","Verified Purchase","Reviewed in Australia on 20 December 2023","4.8 out of 5 stars"
"14","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Jin Yeun","The sponge is firm and fits the hand well. Easy to use to scrub even non-stick pans without scratching.
  
Read more","Verified Purchase","Reviewed in Australia on 4 January 2024","4.6 out of 5 stars"
"15","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Jennifer H","Works well for pots and pans, but can't say it's a game changer in the oven, which I what I purchased it for. I bought it after watching the promo, my children saw it on TV... I prefer the heavy duty Vileda Power Scrub Scourer, especially for the oven. It's cute, but limited.
  
Read more","Verified Purchase","Reviewed in Australia on 6 November 2023","4.6 out of 5 stars"
"16","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Constance Wee","Heard all the rage about this. Was hesitant. But lasts much longer than a kitchen sponge and foams well.
  
Read more","Verified Purchase","Reviewed in Australia on 26 February 2024","4.8 out of 5 stars"
"17","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Peter Thanos","I hate kitchen sponges. Really I do. Germ factories. But not this one. Once a week (or more often as needed) I chuck it in the dishwasher et voila!  Clean and sanitised. The open grain of the sponge makes it easy to get clean in a diswasher, and assists in scrubbing what it needs to. Love it
  
Read more","Verified Purchase","Reviewed in Australia on 2 February 2024","4.8 out of 5 stars"
"18","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Audriculous","I have the applicator so it just hangs in my sink.  The smiley face is cute, and I like the overall aesthetics of it - something as simple as a smiley face to brighten your mood.  Does a great job too and is easy to clean. Sterilse it with hot water from the jug and then it just hangs to dry.  Love it
  
Read more","Verified Purchase","Reviewed in Australia on 4 November 2023","4.7 out of 5 stars"
"19","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Kitikatter","This sponge is great at cleaning. I was surprised how much more effective it was compared to a regular sponge.
  
Read more","Verified Purchase","Reviewed in the United Kingdom on 7 December 2023","Next page"
