"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Ken L","These are great containers. I had a bunch of red colour containers before and these added different colour so I can store different things to separate. Easy to take straight from fridge and reheat the food. Decor quality. Highly recommended!","Verified Purchase","Reviewed in Australia on 14 January 2024","4.7 out of 5 stars"
"2","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","BT","I like these containers because I can freeze,defrost and heat leftovers in the microwave. They are good quality and I highly recommend them.","Verified Purchase","Reviewed in Australia on 11 November 2023","5.0 out of 5 stars"
"3","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Ken L","The colours of this 3 set are sooo nice! Makes a change from the usual red. They hold quite a lot and are good for lunches, or for leftovers. They are easy to wash and can be stored by stacking them up in the cupboard so very convenient. Just a word of warning though, the lids break easily.","Verified Purchase","Reviewed in Australia on 14 January 2024","3.0 out of 5 stars"
"4","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Gloria","Good plastic","Verified Purchase","Reviewed in Australia on 25 January 2024","5.0 out of 5 stars"
"5","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Kelly","Really good container with three different colors. Easy to use, microwave friendly.","Verified Purchase","Reviewed in Australia on 9 November 2023","5.0 out of 5 stars"
"6","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Karolina","Great size for meal prep with measurements on the inside of it","Verified Purchase","Reviewed in Australia on 2 February 2024","5.0 out of 5 stars"
"7","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Jun","Cheaper than supermarkets. Great product","Verified Purchase","Reviewed in Australia on 19 October 2023","5.0 out of 5 stars"
"8","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Morgan","EXLENT","Verified Purchase","Reviewed in Australia on 24 December 2023","4.0 out of 5 stars"
"9","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Gajendranath","Great product, as described but sadly one of the lid is cracked, unlike from the shipping because it was packed with stuffed papers etc.","Verified Purchase","Reviewed in Australia on 5 January 2024","5.0 out of 5 stars"
"10","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Stojan","Great product for storage needs","Verified Purchase","Reviewed in Australia on 29 February 2024","5.0 out of 5 stars"
"11","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Ken L","Love them use to make my lunches and dinners for the week 🙂","Verified Purchase","Reviewed in Australia on 14 January 2024","4.7 out of 5 stars"
"12","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","BT","Love this","Verified Purchase","Reviewed in Australia on 11 November 2023","5.0 out of 5 stars"
"13","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Linda.","Came exactly as described, correct colours as shown in the pics, love them","Verified Purchase","Reviewed in Australia on 6 November 2023","3.0 out of 5 stars"
"14","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Dukendra KC","Happy with this. Good price and as described.","Verified Purchase","Reviewed in Australia on 20 November 2023","5.0 out of 5 stars"
"15","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Ann","Lid crack not fully freezer proof. Decor seem to have a lot of issues with their lids as the containers are a solid, quality product. A shame really","Verified Purchase","Reviewed in Australia on 27 October 2023","5.0 out of 5 stars"
"16","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Samar Chopra","I've not yet used the containers in the microwave. They look solid & with secure lids. The size is practical for leftovers & they are stackable & cheerful. The lid's air vent colour matches it's container. Package arrived promptly. Very affordable so I will order more.","Verified Purchase","Reviewed in Australia on 18 October 2023","5.0 out of 5 stars"
"17","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","BT","Bought this pack to replace the ones the kids don't return. They'll either leave them at work or forget to return them. These are great replacements.","Verified Purchase","Reviewed in Australia on 11 November 2023","5.0 out of 5 stars"
"18","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Nina V.","Using this product to freeze different meats in my freezer.Great quality product.","Verified Purchase","Reviewed in Australia on 21 June 2023","3.0 out of 5 stars"
"19","Container","Decor Microsafe Decor Oblong Jewel Container, Pack of 3 Pieces, 900ml Capacity, Assorted","Stubbsy","Great product. As described.","Verified Purchase","Reviewed in Australia on 10 July 2023","5.0 out of 5 stars"
